state,county,state_id,county_id,DEM_votes,REP_votes,normalized_election_outcome,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
Alabama,Jefferson,1.0,73.0,138443.0,180936.0,0.4334755885640571,659460,312333,347127,3.7,50.4,42.4,0.2,1.5,0.0,491022,49321,29456,17.6,25.6,38.8,16.9,25.3,7.3,11.6,84.4,9.4,0.9,1.4,1.0,2.8,23.8,300739,81.8,13.5,4.5,0.2,7.7
Alabama,Clay,1.0,27.0,5589.0,1262.0,0.8157933148445482,13407,6471,6936,3.1,80.2,14.7,0.9,0.0,0.0,10332,37287,21330,19.1,23.5,22.2,14.6,18.4,12.9,31.9,87.5,6.0,0.0,2.8,0.6,3.0,30.3,5509,77.8,14.5,7.7,0.0,6.4
Alabama,Washington,1.0,129.0,6554.0,2253.0,0.7441807653003293,16746,8342,8404,0.5,65.1,24.6,7.5,0.9,0.0,12796,42185,23239,22.0,34.3,20.6,15.7,21.9,19.3,22.4,83.2,13.5,0.0,0.2,1.3,1.8,35.2,5710,79.0,15.6,5.2,0.3,11.0
Alabama,Hale,1.0,65.0,3190.0,4687.0,0.40497651390123146,14995,7049,7946,1.3,39.5,58.7,0.2,0.2,0.0,11484,34679,20269,26.1,37.7,27.6,18.3,22.9,11.0,20.1,90.4,5.9,0.0,0.3,1.4,1.9,29.9,5252,82.1,12.6,5.2,0.0,11.7
Alabama,Escambia,1.0,53.0,10844.0,4894.0,0.6890329139661965,37621,19326,18295,2.2,60.2,32.2,3.6,0.4,0.1,29129,35026,18164,23.8,33.3,24.6,21.2,24.6,11.3,18.3,91.3,7.0,0.1,0.3,0.5,0.8,22.6,12134,75.6,19.7,4.6,0.1,13.7
Alabama,Cleburne,1.0,29.0,6472.0,672.0,0.9059350503919372,14939,7367,7572,2.4,92.7,2.8,0.3,0.5,0.0,11329,37396,20873,19.1,31.0,25.7,11.4,23.2,18.0,21.7,81.8,14.5,0.0,0.9,0.1,2.7,33.2,5743,76.1,15.7,8.2,0.0,7.8
Alabama,Chambers,1.0,17.0,8748.0,6356.0,0.5791843220338984,33895,16320,17575,2.2,56.2,39.3,0.3,1.0,0.0,26259,37342,22002,18.8,29.1,24.3,13.5,23.0,11.6,27.6,87.1,9.7,0.2,0.6,0.5,2.0,23.6,14527,84.5,11.8,3.7,0.0,6.4
Alabama,Conecuh,1.0,35.0,3435.0,2951.0,0.5378953961791418,12649,6040,6609,1.8,50.3,46.3,0.2,0.0,0.0,9812,30434,16337,26.4,39.3,15.9,19.7,24.3,12.8,27.4,90.0,6.7,0.4,0.8,0.4,1.7,29.6,3945,79.5,12.3,7.2,1.0,14.5
Alabama,Henry,1.0,67.0,6593.0,2589.0,0.7180352864299717,17110,8208,8902,2.5,68.7,27.8,0.0,0.0,0.0,13377,45569,23983,13.7,17.2,32.8,19.0,19.4,11.0,17.8,85.9,7.5,0.0,0.7,3.3,2.6,25.6,6949,80.5,14.7,4.8,0.1,6.7
Alabama,Lee,1.0,81.0,42019.0,27600.0,0.6035565003806432,156597,77172,79425,3.7,67.6,22.9,0.1,3.8,0.0,117422,47564,26170,22.0,24.0,41.0,16.6,22.7,7.1,12.6,84.7,8.1,0.8,1.9,1.0,3.5,22.2,71677,77.1,18.3,4.4,0.2,5.7
Alabama,Tallapoosa,1.0,123.0,14905.0,5815.0,0.7193532818532818,40756,19616,21140,2.4,68.9,27.2,0.4,0.4,0.0,31773,42181,22430,21.2,35.9,28.3,15.1,21.0,11.7,23.9,85.0,10.1,0.1,0.9,1.0,2.9,25.2,15317,81.2,13.8,4.7,0.3,9.2
Alabama,Autauga,1.0,1.0,19764.0,7450.0,0.7262438450797384,55036,26899,28137,2.7,75.4,18.9,0.3,0.9,0.0,41016,55317,27824,13.7,20.1,35.3,18.0,23.2,8.1,15.4,86.0,9.6,0.1,0.6,1.3,2.5,25.8,24112,74.1,20.2,5.6,0.1,5.2
Alabama,Sumter,1.0,119.0,1598.0,4639.0,0.2562129228795895,13084,6033,7051,0.3,24.6,70.7,0.5,3.0,0.0,10220,21663,14739,36.0,47.4,25.5,26.9,22.6,4.9,20.1,87.4,7.3,0.3,3.1,0.1,1.8,26.1,4353,73.4,23.6,3.0,0.0,13.4
Alabama,Lowndes,1.0,85.0,1835.0,4968.0,0.26973394090842273,10362,4896,5466,0.7,24.3,74.4,0.1,0.0,0.0,7973,29785,18976,30.2,48.4,23.0,17.4,21.6,11.5,26.5,84.4,11.1,0.4,0.3,1.9,1.8,30.3,3533,79.3,16.4,3.4,0.9,11.2
Alabama,Fayette,1.0,57.0,7295.0,1390.0,0.8399539435808866,16657,8191,8466,1.7,85.0,11.5,0.0,0.5,0.0,13044,36541,21191,18.1,25.0,29.0,17.9,18.9,10.8,23.5,84.2,11.6,0.0,1.3,0.5,2.4,27.9,6307,79.6,15.4,4.8,0.2,8.4
Alabama,Macon,1.0,87.0,1539.0,7084.0,0.17847616838687233,19358,8933,10425,1.6,15.5,81.5,0.2,0.2,0.0,15760,32308,19564,25.9,39.3,29.4,24.0,19.5,7.6,19.6,79.3,10.6,1.0,6.2,1.4,1.6,22.5,7348,77.7,17.3,4.8,0.2,14.5
Alabama,Lamar,1.0,75.0,6168.0,978.0,0.8631402183039463,14021,6875,7146,1.5,86.0,10.8,0.3,0.0,0.0,10888,36016,21152,23.1,37.3,28.8,14.5,18.9,13.4,24.4,84.4,13.8,0.6,0.2,0.1,1.0,28.1,5376,76.6,18.5,3.8,1.0,7.9
Alabama,Perry,1.0,105.0,1336.0,3849.0,0.25766634522661525,9680,4630,5050,0.7,29.4,69.6,0.1,0.2,0.0,7492,22973,13449,41.9,60.8,23.4,21.9,27.3,5.1,22.3,84.7,8.8,0.0,2.0,4.3,0.2,26.1,2478,77.0,19.3,3.8,0.0,11.8
Alabama,Bullock,1.0,11.0,1143.0,3439.0,0.2494543867306853,10478,5616,4862,0.3,21.6,75.6,1.0,0.7,0.0,8212,29655,20856,28.5,50.4,19.7,17.1,18.6,14.0,30.6,73.1,15.7,0.3,6.2,1.7,3.0,29.8,4290,81.4,13.6,5.0,0.0,12.1
Alabama,Greene,1.0,63.0,875.0,3880.0,0.18401682439537329,8533,4058,4475,1.2,17.1,80.3,0.6,0.0,0.0,6533,20954,14197,38.8,67.8,22.3,18.0,25.9,9.2,24.6,80.0,12.8,0.0,1.1,1.9,4.1,29.7,2411,73.4,22.0,4.6,0.0,14.8
Alabama,Wilcox,1.0,131.0,1826.0,4036.0,0.3114977823268509,10919,5096,5823,0.5,26.9,72.1,0.1,0.0,0.0,8218,27012,15774,31.9,41.9,24.4,21.0,19.0,7.1,28.6,88.8,7.5,0.0,1.0,0.2,2.4,25.0,2901,76.4,18.9,4.7,0.0,17.2
Alabama,Choctaw,1.0,23.0,4294.0,3126.0,0.5787061994609164,13188,6277,6911,0.5,56.3,42.1,0.0,0.1,0.0,10454,32122,20994,22.3,32.8,23.6,15.4,22.0,17.1,21.9,81.8,13.7,0.0,1.7,1.2,1.6,32.7,4301,79.9,14.8,4.9,0.4,9.8
Alabama,Clarke,1.0,25.0,7310.0,5730.0,0.5605828220858896,24625,11649,12976,0.2,53.0,45.7,0.1,0.5,0.1,19087,33827,20765,25.3,30.7,21.6,14.3,24.8,13.7,25.6,83.7,11.9,0.2,0.7,2.7,0.9,23.9,7933,83.1,11.8,5.1,0.0,15.2
Alabama,Coosa,1.0,37.0,3626.0,1794.0,0.6690036900369004,10955,5474,5481,0.1,65.3,33.2,0.1,0.0,0.0,8989,34792,20342,14.4,17.9,17.6,23.2,23.7,14.5,20.9,83.2,9.7,0.6,1.7,0.6,4.2,29.8,3897,78.8,15.9,5.4,0.0,11.3
Alabama,Russell,1.0,113.0,9796.0,11078.0,0.4692919421289642,58480,28424,30056,5.2,47.8,42.4,0.4,0.7,0.2,42923,38988,21279,20.9,29.2,28.7,20.2,25.2,9.4,16.4,86.0,8.5,0.3,1.4,1.1,2.8,24.1,22959,76.1,20.0,3.8,0.1,9.7
