state,county,party_x,DEM_votes,party_y,REP_votes
Indiana,Howard,REP,26400,DEM,13270
Indiana,Huntington,REP,13147,DEM,4255
Indiana,Jackson,REP,14555,DEM,4302
Indiana,Jasper,REP,11383,DEM,3798
Indiana,Jay,REP,6361,DEM,1926
Indiana,Jefferson,REP,9659,DEM,4731
Indiana,Jennings,REP,9490,DEM,2523
Indiana,Johnson,REP,51209,DEM,24729
Indiana,Knox,REP,11654,DEM,4067
Indiana,Kosciusko,REP,26476,DEM,8350
Indiana,LaGrange,REP,8110,DEM,2355
Indiana,Lake,REP,91733,DEM,124801
Indiana,LaPorte,REP,25991,DEM,22419
Indiana,Lawrence,REP,15601,DEM,4961
Indiana,Madison,REP,31215,DEM,19524
Indiana,Marion,REP,133968,DEM,247265
Indiana,Marshall,REP,13844,DEM,5712
Indiana,Martin,REP,4029,DEM,1011
Indiana,Miami,REP,10925,DEM,3235
Indiana,Monroe,REP,22071,DEM,39861
Indiana,Montgomery,REP,12659,DEM,4213
Indiana,Morgan,REP,27510,DEM,7777
Indiana,Newton,REP,4942,DEM,1509
Indiana,Noble,REP,14195,DEM,4660
Indiana,Ohio,REP,2392,DEM,750
Indiana,Orange,REP,6432,DEM,2224
Indiana,Owen,REP,7285,DEM,2419
Indiana,Parke,REP,5398,DEM,1503
Indiana,Perry,REP,5343,DEM,3202
Indiana,Pike,REP,4692,DEM,1415
Indiana,Porter,REP,45008,DEM,39746
Indiana,Posey,REP,9206,DEM,3811
Indiana,Pulaski,REP,4246,DEM,1463
Indiana,Putnam,REP,12278,DEM,3946
Indiana,Randolph,REP,8312,DEM,2512
Indiana,Ripley,REP,11261,DEM,2774
Indiana,Rush,REP,6035,DEM,1754
Indiana,St. Joseph,REP,53152,DEM,59870
Indiana,Scott,REP,7328,DEM,2698
Indiana,Shelby,REP,14568,DEM,5023
Indiana,Spencer,REP,7354,DEM,3208
Indiana,Starke,REP,7466,DEM,2650
Indiana,Steuben,REP,11322,DEM,4509
Indiana,Sullivan,REP,6687,DEM,2153
Indiana,Switzerland,REP,3133,DEM,964
Indiana,Tippecanoe,REP,34581,DEM,35017
